menu-item-name,"Paneer Makhani*","Paneer Makhani","paneer makhani","Paneer Makhanis","paneer makhanis"
menu-item-name,"Saag Aloo*","Saag Aloo","saag aloo","Saag Aloos","saag aloos"
menu-item-name,"Aloo Mattar*","Aloo Mattar","aloo mattar","Aloo Mattars","aloo mattars"
menu-item-name,"Mushroom Mattar*","Mushroom Mattar","mushroom mattar","Mushroom Mattars","mushroom mattars"
menu-item-name,"Aloo Gobhi*","Aloo Gobhi","aloo gobhi","Aloo Gobhis","aloo gobhis"
menu-item-name,"Paneer Bhurji*","Paneer Bhurji","paneer bhurji","Paneer Bhurjis","paneer bhurjis"
menu-item-name,"Vegetable Jalfrezi*","Vegetable Jalfrezi","vegetable jalfrezi","Vegetable Jalfrezis","vegetable jalfrezis"
menu-item-name,"Paneer Tikka Korma*","Paneer Tikka Korma","paneer tikka korma","Paneer Tikka Kormas","paneer tikka kormas"
menu-item-name,"Murgh Masala*","Murgh Masala","murgh masala","Murgh Masalas","murgh masalas"
menu-item-name,"Bombay Chicken *","Bombay Chicken ","bombay chicken ","Bombay Chicken s","bombay chicken s","Bombay Chicken","bombay chicken","Bombay Chickens","bombay chickens"
menu-item-name,"Chicken Vindaloo*","Chicken Vindaloo","chicken vindaloo","Chicken Vindaloos","chicken vindaloos"
menu-item-name,"Chicken Saagwala*","Chicken Saagwala","chicken saagwala","Chicken Saagwalas","chicken saagwalas"
menu-item-name,"Murgh Makhani*","Murgh Makhani","murgh makhani","Murgh Makhanis","murgh makhanis"
menu-item-name,"Chicken Madras*","Chicken Madras","chicken madras","Chicken Madra","chicken madra"
menu-item-name,"Chicken Tikka Masala*","Chicken Tikka Masala","chicken tikka masala","Chicken Tikka Masalas","chicken tikka masalas"
menu-item-name,"Chicken Korma*","Chicken Korma","chicken korma","Chicken Kormas","chicken kormas"
menu-item-name,"Chicken Dalwala*","Chicken Dalwala","chicken dalwala","Chicken Dalwalas","chicken dalwalas"
menu-item-name,"Hydrabadi Chicken Curry*","Hydrabadi Chicken Curry","hydrabadi chicken curry","Hydrabadi Chicken Currys","hydrabadi chicken currys"
menu-item-name,"Chicken Jalfrezie*","Chicken Jalfrezie","chicken jalfrezie","Chicken Jalfrezies","chicken jalfrezies"
menu-item-name,"Kashmiri Chicken*","Kashmiri Chicken","kashmiri chicken","Kashmiri Chickens","kashmiri chickens"
menu-item-name,"Tandoori Chicken*","Tandoori Chicken","tandoori chicken","Tandoori Chickens","tandoori chickens"
menu-item-name,"Boti Kebab*","Boti Kebab","boti kebab","Boti Kebabs","boti kebabs"
menu-item-name,"Fish Tandoori*","Fish Tandoori","fish tandoori","Fish Tandooris","fish tandooris"
menu-item-name,"Tandoori Prawns*","Tandoori Prawns","tandoori prawns","Tandoori Prawn","tandoori prawn"
menu-item-name,"Lamb Chops*","Lamb Chops","lamb chops","Lamb Chop","lamb chop"
menu-item-name,"Chicken Tikka Kebab*","Chicken Tikka Kebab","chicken tikka kebab","Chicken Tikka Kebabs","chicken tikka kebabs"
menu-item-name,"Seekh Kebab*","Seekh Kebab","seekh kebab","Seekh Kebabs","seekh kebabs"
menu-item-name,"Tandoori Salmon*","Tandoori Salmon","tandoori salmon","Tandoori Salmons","tandoori salmons"
menu-item-name,"Indian Oven Mixed Tandoori*","Indian Oven Mixed Tandoori","indian oven mixed tandoori","Indian Oven Mixed Tandooris","indian oven mixed tandooris"
menu-item-name,"Rogan Josh*","Rogan Josh","rogan josh","Rogan Joshs","rogan joshs"
menu-item-name,"Lamb Vindaloo*","Lamb Vindaloo","lamb vindaloo","Lamb Vindaloos","lamb vindaloos"
menu-item-name,"Keema Matter*","Keema Matter","keema matter","Keema Matters","keema matters"
menu-item-name,"Karahi Gosht*","Karahi Gosht","karahi gosht","Karahi Goshts","karahi goshts"
menu-item-name,"Lamb Madras*","Lamb Madras","lamb madras","Lamb Madra","lamb madra"
menu-item-name,"Lamb Pasanda*","Lamb Pasanda","lamb pasanda","Lamb Pasandas","lamb pasandas"
menu-item-name,"Saag Gosht*","Saag Gosht","saag gosht","Saag Goshts","saag goshts"
menu-item-name,"Lamb Jalfrezie*","Lamb Jalfrezie","lamb jalfrezie","Lamb Jalfrezies","lamb jalfrezies"
